-1.9802	-2.63158	-3.27869	-3.43137	-3.4202	-0.32468	0.16181	0	-0.48232	-0.80128	-1.27796	-1.75159	-2.06349	-2.37342	-2.52366	-2.83019	-3.44828	-4.21875	-4.51713	-1.86335	-1.08359
-1.81818	-2.30643	-2.79146	-3.10966	-3.09951	-0.4878	0.32415	-2.10016	-2.57649	-0.80257	-1.28	-1.75439	-1.90779	-2.37718	-2.52765	-3.14961	-3.76766	-4.06886	-4.36817	-2.02177	-1.55039
-1.3245	-1.81518	-2.46711	-2.78689	-2.77778	-0.16287	-0.81169	-1.77994	-2.25806	-1.92926	-1.12179	-1.27796	-1.59236	-2.06349	-2.21519	-2.68139	-3.30189	-3.76176	-4.0625	-1.7134	-1.5528
-0.33167	-0.99174	-1.81219	-2.13465	-1.96399	0.81566	1.62602	1.2966	0.96931	0.64412	-0.16051	-0.64	-0.95694	-1.27186	-1.58479	-1.89573	-2.51969	-2.98273	-3.28638	-1.24805	-0.46656
1.16279	2.48344	-0.82508	-1.15132	1.80328	2.61438	2.11726	1.78571	1.2945	1.29032	0.96463	0.16026	-0.31949	-0.79618	-0.79365	-0.31646	0.63091	-2.20126	-2.3511	0.46875	0.62305
3.32779	3.31675	2.97521	2.63591	2.79146	3.10966	2.61011	1.95122	1.62075	1.61551	1.77134	0.96308	0	-0.31898	-0.15898	1.58479	1.57978	1.25984	0.94192	1.25196	1.09204
3.33333	3.32226	2.81457	2.47525	3.61842	3.60656	2.77778	2.11726	1.78571	1.77994	2.09677	3.05466	0.16026	-0.15974	2.07006	1.5873	2.05696	1.41956	1.10063	1.72414	1.40625
2.67112	2.82862	2.32172	1.98347	1.97694	3.44828	2.94599	2.28385	1.95122	1.94489	1.61551	0.80515	0.16051	-0.32	-0.15949	0.9539	1.10935	0.63191	0.31496	2.04082	1.56495
1.00334	0.16667	-0.83056	-1.15894	-0.66007	3.125	2.78689	2.45098	2.11726	1.78571	1.2945	0.48387	0	-0.32051	-0.47923	-0.47771	0.47619	-2.05696	-2.36593	-0.62893	1.25392
0.33501	-0.50083	-0.99834	-1.3267	-1.4876	-1.15321	-0.1642	-2.78232	-3.09951	1.46341	0.81037	0.3231	0	-0.32103	-0.64	-1.11643	-1.74881	-2.37718	-2.52765	-2.67717	-2.1978
-0.16779	-0.50167	-0.83333	-1.16279	-1.65563	-1.81518	-2.63158	-3.11475	-3.43137	-3.58306	-0.32468	0.16181	-0.16129	-0.48232	-0.96154	-1.4377	-1.91083	-2.38095	-2.68987	-2.83912	-3.30189
-0.33613	-0.50251	-0.66778	-0.99834	-1.3267	-1.98347	-2.63591	-3.11987	-3.43699	-3.58891	-0.81301	-1.45867	-2.42326	-2.73752	-2.4077	-1.76	-1.75439	-2.22576	-2.53566	-2.8436	-3.46457
0	0	-0.16722	-0.5	-0.83056	-1.49007	-2.14521	-2.46711	-2.95082	-3.10458	-0.4886	-1.2987	-2.10356	-2.41935	-2.41158	-1.28205	-1.4377	-1.75159	-2.06349	-2.37342	-2.99685
1.34907	1.0084	0.50251	0.16694	-0.16639	-0.49751	-1.32231	-1.81219	-2.13465	-2.12766	0.4894	1.30081	-1.45867	-1.77706	0.32206	-0.32103	-0.64	-1.11643	-1.43084	-1.58479	-2.05371
2.7027	1.85185	1.1745	0.83612	1	1.16279	2.48344	-0.82508	-1.15132	1.80328	2.61438	2.11726	1.78571	1.2945	1.12903	0.80386	0.16026	-0.47923	-0.79618	-0.79365	-0.15823
4.06091	2.86678	1.84874	1.50754	1.83639	3.99334	3.9801	3.47107	2.9654	3.44828	3.43699	2.77325	2.11382	1.78282	1.77706	2.0934	0.96308	0.32	0	0.47695	2.06022
4.91525	5.57432	2.3569	1.84564	4.68227	4.83333	5.1495	4.4702	4.12541	4.27632	4.09836	3.10458	2.60586	2.27273	2.26537	3.3871	3.69775	0.64103	2.8754	2.70701	3.49206
4.41426	5.41455	2.19224	1.84874	4.52261	3.83973	5.65724	5.14096	4.79339	4.77759	4.26929	3.43699	2.77325	2.43902	2.43112	2.90792	3.7037	0.64205	0.32	2.55183	3.81558
3.7415	2.71186	2.19595	1.85185	1.67785	2.50836	3	2.82392	2.48344	4.78548	4.11184	3.44262	2.94118	2.60586	2.43506	1.94175	1.12903	0.48232	0.16026	0.15949	1.27186
3.2368	2.71647	2.03046	1.68634	1.51261	1.34003	0.50083	-0.33278	-0.66335	-0.49587	3.13015	3.28407	2.94599	2.61011	2.11382	1.62075	0.96931	0.48309	0.16051	0	-0.47771
-0.66007	1.31579	0.32787	0	0.16287	1.13636	0.97087	0.48387	0.16077	-0.16026	-0.63898	-1.27389	-1.74603	-2.05696	-2.2082	-2.20126	-0.7837	-3.75	-4.20561	-1.86335	-1.08359
